condition,round_type,color,exec_bucket,upside_bucket,gap_bucket,n,good,bad,good_rate,bad_rate,edge,avg_off_par,consistency,confidence
Calm,Open,Red,25-50,50-75,-20--10,15,13,0,86.66666666666667,0.0,86.66666666666667,-3.3333333333333335,2.193062655175134,EXPLORATORY
Calm,REMOVE,Yellow,50-75,50-75,-10-0,20,16,0,80.0,0.0,80.0,-3.2,2.041671142136162,EXPLORATORY
Calm,Open,Green,25-50,25-50,-10-0,35,24,2,68.57142857142857,5.714285714285714,62.857142857142854,-2.5714285714285716,2.2917462425705284,HIGH
Calm,Open,Orange,50-75,25-50,0-10,29,19,1,65.51724137931035,3.4482758620689653,62.06896551724138,-2.310344827586207,3.306956393896509,EXPLORATORY
Calm,Open,Yellow,50-75,25-50,0-10,74,50,5,67.56756756756756,6.756756756756757,60.810810810810814,-2.5135135135135136,2.517028271937503,HIGH
Calm,Open,Purple,50-75,25-50,0-10,24,14,0,58.333333333333336,0.0,58.333333333333336,-2.4166666666666665,2.30154327555998,EXPLORATORY
Calm,Open,Purple,25-50,25-50,-20--10,28,19,4,67.85714285714286,14.285714285714285,53.571428571428584,-2.0714285714285716,2.8922446931543266,EXPLORATORY
Calm,Open,Green,50-75,25-50,0-10,20,12,2,60.0,10.0,50.0,-2.35,2.9784312366712355,EXPLORATORY
Calm,Open,Orange,50-75,50-75,-20--10,104,62,10,59.61538461538461,9.615384615384617,50.0,-2.0865384615384617,2.936580723906787,HIGH
Calm,Open,Purple,25-50,50-75,-20--10,197,114,17,57.868020304568525,8.629441624365482,49.23857868020304,-1.8071065989847717,2.4771095429064642,HIGH
Calm,Open,Green,75-100,50-75,20+,22,14,4,63.63636363636363,18.181818181818183,45.45454545454545,-1.3636363636363635,3.2152235284132797,EXPLORATORY
Calm,Open,Red,50-75,50-75,10-20,28,18,6,64.28571428571429,21.428571428571427,42.85714285714286,-1.8928571428571428,3.4030409681177556,EXPLORATORY
Calm,Open,Yellow,50-75,50-75,<-20,17,9,2,52.94117647058824,11.76470588235294,41.17647058823529,-1.9411764705882353,3.5963625414315175,EXPLORATORY
Calm,Open,Red,75-100,50-75,10-20,15,8,2,53.333333333333336,13.333333333333334,40.0,-1.8,3.075246796135695,EXPLORATORY
Calm,Open,Blue,50-75,25-50,0-10,28,16,5,57.14285714285714,17.857142857142858,39.28571428571428,-1.5357142857142858,2.9625082323016465,EXPLORATORY
Calm,Open,Yellow,25-50,25-50,-10-0,147,79,22,53.74149659863946,14.965986394557824,38.775510204081634,-1.5374149659863945,3.0074612896620265,HIGH
Calm,Open,Orange,50-75,50-75,0-10,105,49,9,46.666666666666664,8.571428571428571,38.095238095238095,-1.638095238095238,2.7565439953925637,HIGH
Calm,Open,Red,50-75,50-75,-20--10,19,9,2,47.368421052631575,10.526315789473683,36.84210526315789,-1.1578947368421053,1.5370663939515445,EXPLORATORY
Calm,Open,Purple,50-75,75-100,-10-0,113,56,15,49.557522123893804,13.274336283185843,36.283185840707965,-1.4513274336283186,2.7483473944824612,HIGH
Calm,Open,Blue,25-50,50-75,<-20,394,194,62,49.23857868020304,15.736040609137056,33.50253807106599,-1.2918781725888324,3.410593439348933,HIGH
Calm,Open,Orange,0-25,25-50,<-20,15,7,2,46.666666666666664,13.333333333333334,33.333333333333336,-1.0666666666666667,2.463060426921489,EXPLORATORY
Calm,Open,Blue,75-100,75-100,-10-0,15,9,4,60.0,26.666666666666668,33.33333333333333,-0.8666666666666667,3.3565855667130946,EXPLORATORY
Calm,Open,Orange,25-50,50-75,-20--10,174,86,29,49.42528735632184,16.666666666666664,32.758620689655174,-1.3045977011494252,2.9979340881276375,HIGH
Calm,Open,Purple,25-50,75-100,<-20,209,108,40,51.674641148325364,19.138755980861244,32.535885167464116,-1.229665071770335,3.1062716309067495,HIGH
Calm,Open,Yellow,25-50,50-75,-10-0,162,77,25,47.53086419753087,15.432098765432098,32.098765432098766,-1.0864197530864197,3.0531422805768322,HIGH
Calm,Open,Blue,25-50,25-50,-10-0,91,42,13,46.15384615384615,14.285714285714285,31.868131868131872,-1.0769230769230769,2.5570415597837943,HIGH
Calm,Open,Green,50-75,50-75,10-20,60,27,8,45.0,13.333333333333334,31.666666666666664,-1.35,2.3993290022456173,HIGH
Calm,Open,Blue,75-100,50-75,10-20,175,81,27,46.285714285714285,15.428571428571427,30.85714285714286,-1.1371428571428572,4.006251272833963,HIGH
Calm,Open,Blue,25-50,50-75,-20--10,242,113,39,46.69421487603306,16.115702479338843,30.57851239669421,-1.3140495867768596,2.995246740232822,HIGH
Calm,Open,Blue,50-75,75-100,-20--10,208,102,39,49.03846153846153,18.75,30.288461538461537,-1.4038461538461537,2.9717485565679,HIGH
Calm,Open,Blue,50-75,50-75,0-10,295,140,51,47.45762711864407,17.28813559322034,30.16949152542373,-1.1830508474576271,3.1933792340998104,HIGH
Calm,Open,Yellow,50-75,75-100,<-20,567,278,111,49.029982363315696,19.576719576719576,29.453262786596117,-1.1428571428571428,3.2043004924060288,HIGH
Calm,Open,Yellow,75-100,50-75,20+,136,58,18,42.64705882352941,13.23529411764706,29.411764705882348,-0.9705882352941176,2.276908809217048,HIGH
Calm,Open,Green,50-75,75-100,<-20,120,56,21,46.666666666666664,17.5,29.166666666666668,-1.2666666666666666,2.915427908207504,HIGH
Calm,Open,Purple,50-75,50-75,10-20,85,44,20,51.76470588235295,23.52941176470588,28.235294117647065,-1.5411764705882354,3.7434162560562836,HIGH
Calm,Open,Red,25-50,75-100,<-20,75,32,11,42.66666666666667,14.666666666666666,28.000000000000004,-0.9733333333333334,2.498504056935374,HIGH
Calm,Open,Orange,50-75,75-100,<-20,302,140,58,46.35761589403973,19.205298013245034,27.152317880794698,-1.119205298013245,3.168422167913339,HIGH
Calm,Open,Yellow,75-100,50-75,10-20,211,97,40,45.97156398104265,18.95734597156398,27.014218009478675,-0.8767772511848341,2.9606918500747548,HIGH
Calm,Open,Yellow,75-100,75-100,-10-0,19,8,3,42.10526315789473,15.789473684210526,26.31578947368421,-1.1578947368421053,2.386609819963988,EXPLORATORY
Calm,Open,Green,25-50,50-75,<-20,190,87,37,45.78947368421053,19.473684210526315,26.31578947368421,-1.105263157894737,2.8985443681598237,HIGH
Calm,Open,Blue,25-50,50-75,-10-0,110,52,24,47.27272727272727,21.818181818181817,25.454545454545453,-1.5727272727272728,6.10227674598346,HIGH
Calm,Open,Yellow,25-50,50-75,<-20,590,282,134,47.79661016949153,22.71186440677966,25.08474576271187,-0.8864406779661017,3.3228619829801875,HIGH
Calm,Open,Green,50-75,50-75,0-10,225,100,45,44.44444444444444,20.0,24.44444444444444,-0.8711111111111111,3.005398581706033,HIGH
Calm,Open,Orange,75-100,50-75,10-20,84,32,12,38.095238095238095,14.285714285714285,23.809523809523807,-0.8095238095238095,2.8643054225489193,HIGH
Calm,Open,Orange,25-50,25-50,-10-0,26,13,7,50.0,26.923076923076923,23.076923076923077,-0.8461538461538461,2.737770007758982,EXPLORATORY
Calm,Open,Pink,25-50,50-75,<-20,44,23,13,52.27272727272727,29.545454545454547,22.727272727272723,-0.5454545454545454,3.812186978103956,HIGH
Calm,Open,Purple,75-100,50-75,10-20,130,58,29,44.61538461538462,22.30769230769231,22.30769230769231,-1.0384615384615385,2.968579244532202,HIGH
Calm,Open,Green,25-50,75-100,<-20,166,75,38,45.18072289156627,22.89156626506024,22.289156626506028,-1.1566265060240963,4.72256203632409,HIGH
Calm,Open,Yellow,75-100,50-75,0-10,293,124,60,42.32081911262799,20.477815699658702,21.843003412969285,-1.0170648464163823,3.502892481782909,HIGH
Calm,Open,Blue,50-75,75-100,<-20,414,175,90,42.270531400966185,21.73913043478261,20.531400966183575,-0.7077294685990339,3.033962426286356,HIGH
Calm,Open,Blue,75-100,50-75,20+,78,30,14,38.46153846153847,17.94871794871795,20.512820512820515,-0.5641025641025641,3.3481522083267374,HIGH
Calm,Open,Yellow,50-75,50-75,-10-0,1113,483,257,43.39622641509434,23.090745732255165,20.305480682839175,-0.8553459119496856,3.242826989084771,HIGH
Calm,Open,Purple,25-50,50-75,<-20,202,88,47,43.56435643564357,23.26732673267327,20.297029702970296,-0.6039603960396039,3.337050289588043,HIGH
Calm,Open,Orange,50-75,75-100,-20--10,74,26,11,35.13513513513514,14.864864864864865,20.27027027027027,-0.7972972972972973,2.71464687645156,HIGH
Calm,Open,Purple,50-75,75-100,<-20,105,43,22,40.95238095238095,20.952380952380953,20.0,-0.8095238095238095,3.2078486623114,HIGH
Calm,Open,Red,50-75,75-100,<-20,15,7,4,46.666666666666664,26.666666666666668,20.0,-1.1333333333333333,4.050867044167681,EXPLORATORY
Calm,Open,Blue,50-75,50-75,-10-0,412,165,85,40.04854368932039,20.631067961165048,19.41747572815534,-0.8932038834951457,3.5724346693601263,HIGH
Calm,Open,Yellow,50-75,50-75,-20--10,481,200,108,41.58004158004158,22.453222453222455,19.12681912681913,-0.6611226611226612,3.120417638234702,HIGH
Calm,Open,Purple,50-75,50-75,0-10,290,118,65,40.689655172413794,22.413793103448278,18.275862068965516,-0.6896551724137931,3.1447594488941664,HIGH
Calm,Open,Green,50-75,50-75,-10-0,467,191,106,40.899357601713064,22.698072805139187,18.201284796573873,-0.6381156316916489,3.2040215950349653,HIGH
Calm,Open,Purple,50-75,50-75,-20--10,171,78,47,45.614035087719294,27.485380116959064,18.128654970760234,-0.43859649122807015,3.3202633339557788,HIGH
Calm,Open,Yellow,50-75,75-100,-20--10,444,189,109,42.567567567567565,24.54954954954955,18.01801801801802,-0.8423423423423423,3.1454449361608265,HIGH
Calm,Open,Yellow,50-75,50-75,0-10,651,266,150,40.86021505376344,23.04147465437788,17.818740399385565,-0.7096774193548387,3.1778388961097117,HIGH
Calm,Open,Yellow,25-50,50-75,-20--10,433,180,103,41.570438799076214,23.787528868360276,17.782909930715938,-0.605080831408776,3.1334030806993765,HIGH
Calm,Open,Blue,50-75,50-75,-20--10,186,74,42,39.784946236559136,22.58064516129032,17.204301075268816,-0.3817204301075269,2.8053017850495117,HIGH
Calm,Open,Orange,50-75,50-75,-10-0,257,105,62,40.856031128404666,24.124513618677042,16.731517509727624,-0.5992217898832685,3.2365827877598536,HIGH
Calm,Open,Green,25-50,50-75,-20--10,180,77,47,42.77777777777778,26.111111111111114,16.666666666666664,-0.8611111111111112,3.1494681450244735,HIGH
Calm,Open,Purple,50-75,75-100,-20--10,128,54,33,42.1875,25.78125,16.40625,-0.6171875,3.4369944152174905,HIGH
Calm,Open,Green,50-75,75-100,-10-0,117,48,30,41.02564102564102,25.64102564102564,15.384615384615385,-0.11965811965811966,3.8127788607170645,HIGH
Calm,Open,Orange,50-75,75-100,-10-0,85,29,16,34.11764705882353,18.823529411764707,15.294117647058824,-0.611764705882353,3.2480547938693385,HIGH
Calm,Open,Yellow,50-75,50-75,10-20,50,23,16,46.0,32.0,14.000000000000002,-0.44,3.2460965569654356,HIGH
Calm,Open,Green,25-50,50-75,-10-0,43,20,14,46.51162790697674,32.55813953488372,13.95348837209302,-0.7209302325581395,3.881123925306694,HIGH
Calm,Open,Yellow,25-50,25-50,-20--10,52,19,12,36.53846153846153,23.076923076923077,13.461538461538458,-0.9807692307692307,3.6217771859843952,HIGH
Calm,Open,Purple,50-75,50-75,-10-0,516,206,141,39.922480620155035,27.325581395348834,12.5968992248062,-0.5445736434108527,3.4410358584345118,HIGH
Calm,Open,Pink,25-50,75-100,<-20,40,17,12,42.5,30.0,12.5,-0.425,3.3503731135501913,HIGH
Calm,Open,Blue,75-100,50-75,0-10,185,70,48,37.83783783783784,25.945945945945947,11.891891891891893,-0.35135135135135137,3.1555353040695238,HIGH
Calm,Open,Orange,25-50,50-75,-10-0,52,20,14,38.46153846153847,26.923076923076923,11.538461538461542,-0.5192307692307693,3.214491602015293,HIGH
Calm,Open,Orange,25-50,75-100,<-20,445,163,114,36.62921348314607,25.617977528089884,11.011235955056181,-0.2898876404494382,3.07254791061467,HIGH
Calm,Open,Yellow,25-50,75-100,<-20,516,190,134,36.82170542635659,25.968992248062015,10.852713178294572,-0.31007751937984496,3.4439725303921316,HIGH
Calm,Open,Blue,25-50,75-100,<-20,449,177,131,39.42093541202672,29.175946547884184,10.24498886414254,-0.08685968819599109,3.2765442352206904,HIGH
Calm,Open,Green,75-100,50-75,0-10,83,32,24,38.55421686746988,28.915662650602407,9.638554216867472,-0.42168674698795183,2.8332541057069243,HIGH
Calm,Open,Red,50-75,50-75,0-10,55,22,17,40.0,30.909090909090907,9.090909090909093,-0.509090909090909,3.155669367701432,HIGH
Calm,Open,Red,50-75,50-75,-10-0,131,50,39,38.16793893129771,29.770992366412212,8.3969465648855,0.17557251908396945,3.4740375889878523,HIGH
Calm,Open,Yellow,50-75,75-100,-10-0,382,145,114,37.95811518324607,29.84293193717277,8.115183246073299,-0.32460732984293195,3.4259120252839974,HIGH
Calm,Open,Blue,25-50,25-50,-20--10,61,20,16,32.78688524590164,26.229508196721312,6.5573770491803245,-0.3442622950819672,2.6197025651883927,HIGH
Calm,Open,Orange,25-50,50-75,<-20,561,198,162,35.294117647058826,28.87700534759358,6.417112299465244,-0.24955436720142601,3.437986949559655,HIGH
Calm,Open,Green,75-100,50-75,10-20,67,26,22,38.80597014925373,32.83582089552239,5.970149253731344,-0.43283582089552236,3.080849354539116,HIGH
Calm,Open,Red,25-50,50-75,<-20,52,21,18,40.38461538461539,34.61538461538461,5.769230769230771,-0.19230769230769232,3.2056228879185884,HIGH
Calm,Open,Blue,50-75,50-75,<-20,18,4,3,22.22222222222222,16.666666666666664,5.555555555555555,-0.1111111111111111,2.7629670515778098,EXPLORATORY
Calm,Open,Purple,25-50,50-75,-10-0,44,15,13,34.090909090909086,29.545454545454547,4.545454545454541,-0.25,3.3488977707702228,HIGH
Calm,Open,Orange,50-75,50-75,<-20,31,9,8,29.03225806451613,25.806451612903224,3.2258064516129057,0.2903225806451613,3.1325553827197457,HIGH
Calm,Open,Green,50-75,75-100,-20--10,99,36,33,36.36363636363637,33.33333333333333,3.030303030303033,-0.31313131313131315,3.2752830214099076,HIGH
Calm,Open,Blue,50-75,50-75,10-20,54,20,19,37.03703703703704,35.18518518518518,1.851851851851849,-0.2037037037037037,3.338622637870179,HIGH
Calm,Open,Green,50-75,50-75,-20--10,151,48,46,31.788079470198678,30.4635761589404,1.3245033112582794,-0.026490066225165563,3.446635112429802,HIGH
Calm,Open,Purple,75-100,50-75,0-10,98,32,32,32.6530612244898,32.6530612244898,0.0,0.11224489795918367,3.242382517997366,HIGH
Calm,Open,Orange,25-50,25-50,-20--10,41,12,12,29.268292682926827,29.268292682926827,0.0,-0.0975609756097561,3.71352176544571,HIGH
Calm,Open,Blue,50-75,75-100,-10-0,157,50,51,31.84713375796178,32.48407643312102,-0.6369426751592355,0.044585987261146494,3.3037351609038113,HIGH
Calm,Open,Green,25-50,25-50,-20--10,18,5,6,27.77777777777778,33.33333333333333,-5.555555555555553,0.6666666666666666,3.2899132833198976,EXPLORATORY
Calm,Open,Red,75-100,50-75,0-10,31,8,11,25.806451612903224,35.483870967741936,-9.677419354838712,1.2903225806451613,3.2372163802367484,HIGH
Calm,Open,Purple,25-50,25-50,-10-0,41,14,20,34.146341463414636,48.78048780487805,-14.634146341463412,-0.024390243902439025,4.174253255841389,HIGH
Calm,Open,Orange,75-100,50-75,20+,50,6,20,12.0,40.0,-28.000000000000004,1.4,3.116774889895918,HIGH
Calm,Open,Orange,75-100,50-75,0-10,128,26,62,20.3125,48.4375,-28.125,1.0625,3.108915298091709,HIGH
Moderate,Open,Red,75-100,50-75,0-10,25,19,4,76.0,16.0,60.0,-2.08,4.377213725647858,EXPLORATORY
