player_a,player_b,player_c,prediction,predicted_ml,actual_winner,is_push,recommendation,edge,result_type,pl
Haotong Li,Zecheng Dou,Jordan Smith,Jordan Smith,162.0,Haotong Li,False,STRONG: Bet C,14.71238148644814,LOSS,-100.0
Haotong Li,Zecheng Dou,Jordan Smith,Jordan Smith,170.0,Haotong Li,False,STRONG: Bet C,14.71238148644814,LOSS,-100.0
Haotong Li,Zecheng Dou,Jordan Smith,Jordan Smith,162.0,Haotong Li,False,STRONG: Bet C,14.71238148644814,LOSS,-100.0
Haotong Li,Zecheng Dou,Jordan Smith,Jordan Smith,170.0,Haotong Li,False,STRONG: Bet C,14.71238148644814,LOSS,-100.0
Min Woo Lee,Jordan Spieth,Daniel Berger,Min Woo Lee,130.0,Min Woo Lee,False,STRONG: Bet A,10.447552743096194,WIN,130.0
Brendan Steele,Scott Vincent,Victor Perez,Brendan Steele,220.0,Scott Vincent,False,STRONG: Bet A,10.404418564870593,LOSS,-100.0
Adrien Saddier,Paul Waring,Christo Lamprecht,Adrien Saddier,137.0,Adrien Saddier,False,STRONG: Bet A,10.314071799512886,WIN,137.0
Angel Ayora,Francesco Laporta,Shaun Norris,Francesco Laporta,162.0,Angel Ayora,False,STRONG: Bet B,10.306332534768194,LOSS,-100.0
Sam Horsfield,Miguel Tabuena,Younghan Song,Younghan Song,145.0,,True,STRONG: Bet C,10.240411674951456,2WAY_PUSH_WIN,72.5
Brian Campbell,Cameron Davis,Patrick Rodgers,Cameron Davis,240.0,Patrick Rodgers,False,STRONG: Bet B,9.978026667696232,LOSS,-100.0
Cameron Adam,Frederico Biondi Figueiredo,Daniel Nduva,Cameron Adam,105.0,Frederico Biondi Figueiredo,False,STRONG: Bet A,9.83853355189179,LOSS,-100.0
Kevin Yu,Cameron Davis,Gary Woodland,Kevin Yu,140.0,Gary Woodland,False,STRONG: Bet A,9.59200265006088,LOSS,-100.0
Kevin Yu,Cameron Davis,Gary Woodland,Kevin Yu,150.0,Gary Woodland,False,STRONG: Bet A,9.59200265006088,LOSS,-100.0
Kevin Yu,Cameron Davis,Gary Woodland,Kevin Yu,140.0,Gary Woodland,False,STRONG: Bet A,9.59200265006088,LOSS,-100.0
Kevin Yu,Cameron Davis,Gary Woodland,Kevin Yu,150.0,Gary Woodland,False,STRONG: Bet A,9.59200265006088,LOSS,-100.0
Jacob Bridgeman,Ben Griffin,Adam Scott,Adam Scott,175.0,,True,STRONG: Bet C,9.59200265006088,2WAY_PUSH_LOSS,-100.0
Matteo Manassero,Jack Buchanan,Matthew Jordan,Matteo Manassero,175.0,Matthew Jordan,False,STRONG: Bet A,9.02719910266565,LOSS,-100.0
Joel Girrbach,JJ Senekal,Davis Bryant,Joel Girrbach,137.0,,True,STRONG: Bet A,9.02719910266565,2WAY_PUSH_WIN,68.5
Garrick Higgo,Karl Vilips,Davis Riley,Karl Vilips,180.0,Karl Vilips,False,STRONG: Bet B,9.02719910266565,WIN,180.0
Sergio Garcia,Lucas Herbert,Sebastian Munoz,Sergio Garcia,200.0,Sergio Garcia,False,STRONG: Bet A,8.904029995377595,WIN,200.0
Ben Griffin,Sahith Theegala,Tony Finau,Ben Griffin,150.0,Tony Finau,False,STRONG: Bet A,8.695785029375676,LOSS,-100.0
Xander Schauffele,Rory McIlroy,Hideki Matsuyama,Xander Schauffele,180.0,Xander Schauffele,False,STRONG: Bet A,8.645035256667688,WIN,180.0
Joaquin Niemann,Dean Burmester,Thomas Detry,Dean Burmester,170.0,Thomas Detry,False,STRONG: Bet B,8.471868350223245,LOSS,-100.0
Taylor Moore,Joel Dahmen,Ryo Hisatsune,Ryo Hisatsune,162.0,Taylor Moore,False,STRONG: Bet C,8.451902275529566,LOSS,-100.0
Cameron Young,Davis Thompson,Sam Burns,Cameron Young,137.0,Cameron Young,False,STRONG: Bet A,8.451902275529566,WIN,137.0
J.J. Spaun,Sepp Straka,Shane Lowry,J.J. Spaun,200.0,Sepp Straka,False,STRONG: Bet A,8.451902275529566,LOSS,-100.0
Sahith Theegala,Rickie Fowler,Jordan Spieth,Jordan Spieth,187.0,Sahith Theegala,False,STRONG: Bet C,8.451902275529566,LOSS,-100.0
Richard Bland,Ben Campbell,Danny Lee,Danny Lee,275.0,Richard Bland,False,STRONG: Bet C,8.394514065333103,LOSS,-100.0
Thorbjorn Olesen,Chandler Phillips,Hank Lebioda,Chandler Phillips,210.0,,True,STRONG: Bet B,8.329231824371302,2WAY_PUSH_WIN,105.0
Austin Eckroat,Doug Ghim,David Lipsky,Doug Ghim,150.0,Doug Ghim,False,STRONG: Bet B,8.329231824371302,WIN,150.0
Franklin Manchest,Justin Walters,Thanda Mavundla,Thanda Mavundla,350.0,Justin Walters,False,STRONG: Bet C,8.238885059013597,LOSS,-100.0
Camilo Villegas,Joel Dahmen,Sam Ryder,Camilo Villegas,260.0,Joel Dahmen,False,STRONG: Bet A,8.238885059013597,LOSS,-100.0
Francesco Laporta,Connor Syme,Daniel van Tonder,Daniel van Tonder,190.0,Francesco Laporta,False,STRONG: Bet C,8.238885059013597,LOSS,-100.0
Jesper Svensson,Zach Bauchou,Jeffrey Kang,Zach Bauchou,160.0,,True,STRONG: Bet B,8.144491344380413,2WAY_PUSH_LOSS,-100.0
Rafael Campos,Seamus Power,Rasmus Hojgaard,Seamus Power,150.0,Rasmus Hojgaard,False,STRONG: Bet B,8.144491344380413,LOSS,-100.0
Zecheng Dou,Jackson Suber,Neal Shipley,Jackson Suber,190.0,Zecheng Dou,False,STRONG: Bet B,8.144491344380413,LOSS,-100.0
Lee Hodges,Mark Hubbard,Henrik Norlander,Henrik Norlander,210.0,Lee Hodges,False,STRONG: Bet C,8.144491344380413,LOSS,-100.0
Ricky Castillo,J.J. Spaun,Billy Horschel,Ricky Castillo,175.0,Billy Horschel,False,STRONG: Bet A,8.144491344380413,LOSS,-100.0
Aaron Rai,Shane Lowry,Billy Horschel,Shane Lowry,120.0,Aaron Rai,False,STRONG: Bet B,8.054144579022708,LOSS,-100.0
Steven Fisk,Nico Echavarria,Kevin Yu,Nico Echavarria,145.0,Nico Echavarria,False,STRONG: Bet B,8.054144579022708,WIN,145.0
Austin Smotherman,Jordan Smith,Chandler Blanchet,Chandler Blanchet,200.0,Austin Smotherman,False,STRONG: Bet C,8.054144579022708,LOSS,-100.0
Steven Fisk,Nick Taylor,Aaron Rai,Aaron Rai,160.0,Aaron Rai,False,STRONG: Bet C,8.054144579022708,WIN,160.0
Viktor Hovland,Brooks Koepka,Corey Conners,Viktor Hovland,145.0,Corey Conners,False,STRONG: Bet A,8.054144579022708,LOSS,-100.0
Brandon Stone,Marcel Schneider,Pieter Moolman,Brandon Stone,130.0,Brandon Stone,False,STRONG: Bet A,8.054144579022708,WIN,130.0
Jeong Weon Ko,Ryggs Johnston,JC Ritchie,JC Ritchie,100.0,JC Ritchie,False,STRONG: Bet C,8.054144579022708,WIN,100.0
Bjorn Hellgren,Michael La Sasso,Luis Masaveu,Michael La Sasso,240.0,Luis Masaveu,False,STRONG: Bet B,8.054144579022708,LOSS,-100.0
Jean Hugo,Adrian Otaegui,Jovan Rebula,Adrian Otaegui,137.0,Adrian Otaegui,False,STRONG: Bet B,8.054144579022708,WIN,137.0
Jacob Olesen,Rikuya Hoshino,Calum Hill,Jacob Olesen,150.0,Rikuya Hoshino,False,STRONG: Bet A,8.054144579022708,LOSS,-100.0
Ugo Coussaud,Wenyi Ding,Nathan Kimsey,Nathan Kimsey,160.0,Nathan Kimsey,False,STRONG: Bet C,8.054144579022708,WIN,160.0
Davis Thompson,Stephan Jaeger,Webb Simpson,Stephan Jaeger,162.0,Davis Thompson,False,STRONG: Bet B,8.054144579022708,LOSS,-100.0
Mark Hubbard,Eric Cole,Alex Smalley,Alex Smalley,130.0,Mark Hubbard,False,STRONG: Bet C,8.054144579022708,LOSS,-100.0
Kris Ventura,Dan Brown,Pontus Nyholm,Dan Brown,137.0,Pontus Nyholm,False,STRONG: Bet B,8.054144579022708,LOSS,-100.0
Sami Valimaki,Cameron Davis,Matt Kuchar,Sami Valimaki,120.0,,True,STRONG: Bet A,8.054144579022708,2WAY_PUSH_LOSS,-100.0
Adam Schenk,William Mouw,Aaron Wise,Adam Schenk,175.0,William Mouw,False,STRONG: Bet A,8.054144579022708,LOSS,-100.0
Jesper Svensson,Kensei Hirata,Luke Clanton,Jesper Svensson,137.0,Jesper Svensson,False,STRONG: Bet A,8.054144579022708,WIN,137.0
Altin van der Merwe,Louis Albertse,Ruan Korb,Louis Albertse,125.0,Altin van der Merwe,False,STRONG: Bet B,8.054144579022708,LOSS,-100.0
Chan Kim,John Parry,Gordon Sargent,Gordon Sargent,250.0,Chan Kim,False,STRONG: Bet C,8.054144579022708,LOSS,-100.0
Kota Kaneko,Jeff Winther,Scott Jamieson,Scott Jamieson,175.0,Jeff Winther,False,STRONG: Bet C,8.054144579022708,LOSS,-100.0
Sebastian Garcia Rodriguez,Martin Vorster,Hennie O'Kennedy,Martin Vorster,162.0,Sebastian Garcia Rodriguez,False,STRONG: Bet B,8.006395332442086,LOSS,-100.0
Michael Hollick,Zander Lombard,Nikhil Rama,Michael Hollick,175.0,Zander Lombard,False,MODERATE: Lean A,7.978374331138544,LOSS,-100.0
Angel Hidalgo,Jaco Ahlers,Darius van Driel,Angel Hidalgo,187.0,Darius van Driel,False,MODERATE: Lean A,7.802991198304032,LOSS,-100.0
David Law,Jaco Prinsloo,Ugo Coussaud,David Law,190.0,,True,MODERATE: Lean A,7.639320279823491,2WAY_PUSH_WIN,95.0
Frederic Lacroix,Zander Lombard,Alex Fitzpatrick,Zander Lombard,210.0,Frederic Lacroix,False,MODERATE: Lean B,7.373178764048808,LOSS,-100.0
Joe Dean,Bernd Wiesberger,Nikhil Rama,Bernd Wiesberger,130.0,Joe Dean,False,MODERATE: Lean B,7.288407289977307,LOSS,-100.0
Emiliano Grillo,Charley Hoffman,Danny Willett,Charley Hoffman,162.0,Emiliano Grillo,False,MODERATE: Lean B,7.210719092870855,LOSS,-100.0
Ben Schmidt,Kyle McClatchie,Luke Jerling,Kyle McClatchie,250.0,Ben Schmidt,False,MODERATE: Lean B,7.059427939048896,LOSS,-100.0
Ricardo Gouveia,James Morrison,Keenan Davidse,Keenan Davidse,230.0,James Morrison,False,MODERATE: Lean C,7.059427939048896,LOSS,-100.0
Cameron Tringale,Adrian Meronk,Laurie Canter,Adrian Meronk,187.0,Adrian Meronk,False,MODERATE: Lean B,7.05931232263431,WIN,187.0
Branden Grace,Tyrrell Hatton,Harold Varner III,Harold Varner III,260.0,Branden Grace,False,MODERATE: Lean C,7.05931232263431,LOSS,-100.0
Russell Henley,Harris English,Corey Conners,Harris English,150.0,Corey Conners,False,MODERATE: Lean B,7.048564530335091,LOSS,-100.0
Russell Henley,Harris English,Corey Conners,Harris English,160.0,Corey Conners,False,MODERATE: Lean B,7.048564530335091,LOSS,-100.0
Aldrich Potgieter,Ryan Fox,Sam Stevens,Aldrich Potgieter,225.0,Ryan Fox,False,MODERATE: Lean A,7.048564530335091,LOSS,-100.0
Russell Henley,Harris English,Corey Conners,Harris English,150.0,Corey Conners,False,MODERATE: Lean B,7.048564530335091,LOSS,-100.0
Russell Henley,Harris English,Corey Conners,Harris English,160.0,Corey Conners,False,MODERATE: Lean B,7.048564530335091,LOSS,-100.0
Sam Stevens,Ryan Fox,Aldrich Potgieter,Aldrich Potgieter,250.0,Ryan Fox,False,MODERATE: Lean C,7.048564530335091,LOSS,-100.0
Manuel Elvira,Marcus Kinhult,Sam Bairstow,Sam Bairstow,160.0,Sam Bairstow,False,MODERATE: Lean C,6.968965557276605,WIN,160.0
Darius van Driel,Ryan Van Velzen,Austin Bautista,Ryan Van Velzen,145.0,Ryan Van Velzen,False,MODERATE: Lean B,6.968965557276605,WIN,145.0
Peter Malnati,Brice Garnett,Lanto Griffin,Lanto Griffin,150.0,Lanto Griffin,False,MODERATE: Lean C,6.968965557276605,WIN,150.0
Taylor Pendrith,Matt McCarty,Jhonattan Vegas,Jhonattan Vegas,350.0,,True,MODERATE: Lean C,6.91489361702128,2WAY_PUSH_WIN,175.0
Matt McCarty,Jhonattan Vegas,Taylor Pendrith,Jhonattan Vegas,300.0,,True,MODERATE: Lean B,6.91489361702128,2WAY_PUSH_WIN,150.0
Jeong Weon Ko,Herman Loubser,Sam Bairstow,Sam Bairstow,110.0,Sam Bairstow,False,MODERATE: Lean C,6.884044806214384,WIN,110.00000000000001
David Puig,Lee Westwood,Louis Oosthuizen,Lee Westwood,333.0,Lee Westwood,False,MODERATE: Lean B,6.755318884463737,WIN,333.0
Adam Schenk,Garrick Higgo,Matt McCarty,Adam Schenk,300.0,Matt McCarty,False,MODERATE: Lean A,6.613258421519908,LOSS,-100.0
Adam Schenk,Garrick Higgo,Matt McCarty,Adam Schenk,320.0,Matt McCarty,False,MODERATE: Lean A,6.613258421519908,LOSS,-100.0
Keegan Bradley,Ryan Fox,Chris Kirk,Ryan Fox,170.0,,False,MODERATE: Lean B,6.613258421519908,LOSS,-100.0
Adam Schenk,Garrick Higgo,Matt McCarty,Adam Schenk,300.0,Matt McCarty,False,MODERATE: Lean A,6.613258421519908,LOSS,-100.0
Adam Schenk,Garrick Higgo,Matt McCarty,Adam Schenk,320.0,Matt McCarty,False,MODERATE: Lean A,6.613258421519908,LOSS,-100.0
Joel Girrbach,Scott Jamieson,Nathan Kimsey,Joel Girrbach,175.0,Nathan Kimsey,False,MODERATE: Lean A,6.613220757029375,LOSS,-100.0
David Wakhu,Lukas Nemecz,Jonathan Broomhead,David Wakhu,450.0,Lukas Nemecz,False,MODERATE: Lean A,6.337014317382706,LOSS,-100.0
Maverick McNealy,Akshay Bhatia,Jacob Bridgeman,Akshay Bhatia,170.0,Jacob Bridgeman,False,MODERATE: Lean B,6.316075321623597,LOSS,-100.0
Maverick McNealy,Akshay Bhatia,Jacob Bridgeman,Akshay Bhatia,185.0,Jacob Bridgeman,False,MODERATE: Lean B,6.316075321623597,LOSS,-100.0
Maverick McNealy,Akshay Bhatia,Jacob Bridgeman,Akshay Bhatia,170.0,Jacob Bridgeman,False,MODERATE: Lean B,6.316075321623597,LOSS,-100.0
Maverick McNealy,Akshay Bhatia,Jacob Bridgeman,Akshay Bhatia,185.0,Jacob Bridgeman,False,MODERATE: Lean B,6.316075321623597,LOSS,-100.0
Renato Paratore,Trevor Fisher Jr,Ross Fisher,Ross Fisher,187.0,Ross Fisher,False,MODERATE: Lean C,6.220053393138668,WIN,187.0
Daniel van Tonder,Justin Harding,Angel Hidalgo,Daniel van Tonder,130.0,Justin Harding,False,MODERATE: Lean A,6.168979354918548,LOSS,-100.0
Quim Vidal,Quentin Debove,Robin Williams,Quentin Debove,187.0,Quim Vidal,False,MODERATE: Lean B,6.168979354918548,LOSS,-100.0
Veer Ahlawat,Joshua Berry,Adri Arnaus,Veer Ahlawat,160.0,,True,MODERATE: Lean A,6.152273837391816,2WAY_PUSH_WIN,80.0
Matteo Manassero,Njoroge Njunge Kibugu,Dan Bradbury,Matteo Manassero,170.0,Njoroge Njunge Kibugu,False,MODERATE: Lean A,6.152273837391816,LOSS,-100.0
Marcel Siem,Brandon Stone,Antoine Rozner,Brandon Stone,145.0,Brandon Stone,False,MODERATE: Lean B,6.1285935595181895,WIN,145.0
Haydn Porteous,Joost Luiten,Neil Schietekat,Joost Luiten,-105.0,Joost Luiten,False,MODERATE: Lean B,6.1285935595181895,WIN,95.23809523809523
Euan Walker,Andrew Johnston,Justin Harding,Euan Walker,200.0,Justin Harding,False,MODERATE: Lean A,6.1285935595181895,LOSS,-100.0
Mark Hubbard,Thorbjorn Olesen,Mac Meissner,Mac Meissner,160.0,Mac Meissner,False,MODERATE: Lean C,6.067346229780453,WIN,160.0
Mark Hubbard,Thorbjorn Olesen,Mac Meissner,Mac Meissner,150.0,Mac Meissner,False,MODERATE: Lean C,6.067346229780453,WIN,150.0
Mark Hubbard,Thorbjorn Olesen,Mac Meissner,Mac Meissner,160.0,Mac Meissner,False,MODERATE: Lean C,6.067346229780453,WIN,160.0
Mark Hubbard,Thorbjorn Olesen,Mac Meissner,Mac Meissner,150.0,Mac Meissner,False,MODERATE: Lean C,6.067346229780453,WIN,150.0
Ryan Van Velzen,Andres Gallegos,Sadom Kaewkanjana,Ryan Van Velzen,162.0,,True,MODERATE: Lean A,6.061927072034112,2WAY_PUSH_WIN,81.0
Makhetha Mazibuko,Graham van der Merwe,Hugo Townsend,Graham van der Merwe,150.0,Hugo Townsend,False,MODERATE: Lean B,6.015713678151821,LOSS,-100.0
Adrian Otaegui,Oliver Bekker,David Ravetto,Adrian Otaegui,150.0,David Ravetto,False,MODERATE: Lean A,5.827791147439937,LOSS,-100.0
Rasmus Hojgaard,Danny Walker,Kristoffer Reitan,Danny Walker,320.0,Danny Walker,False,MODERATE: Lean B,5.808351491070546,WIN,320.0
Rasmus Hojgaard,Danny Walker,Kristoffer Reitan,Danny Walker,260.0,Danny Walker,False,MODERATE: Lean B,5.808351491070546,WIN,260.0
Matti Schmid,Max McGreevy,Takumi Kanaya,Takumi Kanaya,187.0,Matti Schmid,False,MODERATE: Lean C,5.808351491070546,LOSS,-100.0
Rasmus Hojgaard,Danny Walker,Kristoffer Reitan,Danny Walker,320.0,Danny Walker,False,MODERATE: Lean B,5.808351491070546,WIN,320.0
Rasmus Hojgaard,Danny Walker,Kristoffer Reitan,Danny Walker,260.0,Danny Walker,False,MODERATE: Lean B,5.808351491070546,WIN,260.0
Erik van Rooyen,Tom Kim,Zac Blair,Tom Kim,137.0,Tom Kim,False,MODERATE: Lean B,5.709629481841819,WIN,137.0
Kurt Kitayama,Harry Hall,Stephan Jaeger,Harry Hall,150.0,Kurt Kitayama,False,MODERATE: Lean B,5.666291028126717,LOSS,-100.0
Martin Kaymer,Tom McKibbin,Ian Poulter,Martin Kaymer,375.0,Ian Poulter,False,MODERATE: Lean A,5.603598928553207,LOSS,-100.0
Joost Luiten,Samuel Simpson,Dan Bradbury,Joost Luiten,145.0,Dan Bradbury,False,MODERATE: Lean A,5.53194864163942,LOSS,-100.0
Lee Hodges,Matt Wallace,Mac Meissner,Mac Meissner,140.0,Lee Hodges,False,MODERATE: Lean C,5.53194864163942,LOSS,-100.0
Rafael Campos,Nicolai Hojgaard,S.H. Kim,Rafael Campos,400.0,Nicolai Hojgaard,False,MODERATE: Lean A,5.53194864163942,LOSS,-100.0
Jordan Gumberg,Pieter Moolman,Louis Albertse,Jordan Gumberg,187.0,Jordan Gumberg,False,MODERATE: Lean A,5.528159059628758,WIN,187.0
Nico Echavarria,Jason Day,Corey Conners,Corey Conners,162.0,Corey Conners,False,MODERATE: Lean C,5.473158046988595,WIN,162.0
Chad Ramey,Alex Smalley,Pierceson Coody,Chad Ramey,240.0,Alex Smalley,False,MODERATE: Lean A,5.473158046988595,LOSS,-100.0
Jovan Rebula,Rafa Cabrera Bello,Benjamin Follett-Smith,Benjamin Follett-Smith,180.0,Jovan Rebula,False,MODERATE: Lean C,5.340236528916874,LOSS,-100.0
Clement Charmasson,Adrian Otaegui,Mike Toorop,Adrian Otaegui,130.0,Mike Toorop,False,MODERATE: Lean B,5.190397260333692,LOSS,-100.0
Bernd Wiesberger,Jason Scrivener,Wenyi Ding,Bernd Wiesberger,225.0,Jason Scrivener,False,MODERATE: Lean A,5.190397260333692,LOSS,-100.0
Aldrich Potgieter,Jake Knapp,Sungjae Im,Jake Knapp,110.0,Aldrich Potgieter,False,MODERATE: Lean B,5.120378836387262,LOSS,-100.0
Aldrich Potgieter,Jake Knapp,Sungjae Im,Jake Knapp,115.0,Aldrich Potgieter,False,MODERATE: Lean B,5.120378836387262,LOSS,-100.0
Chris Gotterup,Justin Rose,Min Woo Lee,Chris Gotterup,175.0,Chris Gotterup,False,MODERATE: Lean A,5.120378836387262,WIN,175.0
Aldrich Potgieter,Jake Knapp,Sungjae Im,Jake Knapp,110.0,Aldrich Potgieter,False,MODERATE: Lean B,5.120378836387262,LOSS,-100.0
Aldrich Potgieter,Jake Knapp,Sungjae Im,Jake Knapp,115.0,Aldrich Potgieter,False,MODERATE: Lean B,5.120378836387262,LOSS,-100.0
Max Homa,Denny McCarthy,Kevin Yu,Denny McCarthy,175.0,Max Homa,False,SLIGHT: B favored,4.9893851586045255,LOSS,-100.0
Kevin Yu,Max Homa,Denny McCarthy,Denny McCarthy,175.0,Max Homa,False,SLIGHT: C favored,4.9893851586045255,LOSS,-100.0
Tony Finau,Max McGreevy,Lucas Glover,Max McGreevy,160.0,Max McGreevy,False,SLIGHT: B favored,4.9893851586045255,WIN,160.0
Brian Campbell,Wyndham Clark,Marco Penge,Wyndham Clark,120.0,Marco Penge,False,SLIGHT: B favored,4.9893851586045255,LOSS,-100.0
Lucas Glover,Tony Finau,Max McGreevy,Max McGreevy,160.0,Max McGreevy,False,SLIGHT: C favored,4.9893851586045255,WIN,160.0
Sahith Theegala,Michael Kim,Pierceson Coody,Michael Kim,220.0,,True,SLIGHT: B favored,4.984091390211347,2WAY_PUSH_WIN,110.00000000000001
Pierceson Coody,Sahith Theegala,Michael Kim,Michael Kim,235.0,Pierceson Coody,False,SLIGHT: C favored,4.984091390211347,LOSS,-100.0
Brian Harman,Maverick McNealy,Davis Riley,Davis Riley,300.0,Maverick McNealy,False,SLIGHT: C favored,4.98404551090333,LOSS,-100.0
Brian Harman,Maverick McNealy,Davis Riley,Davis Riley,425.0,Maverick McNealy,False,SLIGHT: C favored,4.98404551090333,LOSS,-100.0
Matthew Wolff,Elvis Smylie,Dean Burmester,Elvis Smylie,170.0,Matthew Wolff,False,SLIGHT: B favored,4.98404551090333,LOSS,-100.0
Brian Harman,Maverick McNealy,Davis Riley,Davis Riley,300.0,Maverick McNealy,False,SLIGHT: C favored,4.98404551090333,LOSS,-100.0
Brian Harman,Maverick McNealy,Davis Riley,Davis Riley,425.0,Maverick McNealy,False,SLIGHT: C favored,4.98404551090333,LOSS,-100.0
Cameron Tringale,Luis Masaveu,Sam Horsfield,Sam Horsfield,250.0,Cameron Tringale,False,SLIGHT: C favored,4.98404551090333,LOSS,-100.0
Matthieu Pavon,S.H. Kim,Austin Smotherman,Matthieu Pavon,225.0,Austin Smotherman,False,SLIGHT: A favored,4.951961143419403,LOSS,-100.0
Ricky Castillo,Ryan Gerard,Patrick Cantlay,Ricky Castillo,220.0,Ricky Castillo,False,SLIGHT: A favored,4.951961143419403,WIN,220.00000000000003
Ricky Castillo,Ryan Gerard,Patrick Cantlay,Ricky Castillo,220.0,Ricky Castillo,False,SLIGHT: A favored,4.951961143419403,WIN,220.00000000000003
Emiliano Grillo,Christiaan Bezuidenhout,Max Greyserman,Emiliano Grillo,250.0,,True,SLIGHT: A favored,4.951961143419403,2WAY_PUSH_LOSS,-100.0
Emiliano Grillo,Christiaan Bezuidenhout,Max Greyserman,Emiliano Grillo,280.0,,True,SLIGHT: A favored,4.951961143419403,2WAY_PUSH_LOSS,-100.0
Emiliano Grillo,Christiaan Bezuidenhout,Max Greyserman,Emiliano Grillo,250.0,,True,SLIGHT: A favored,4.951961143419403,2WAY_PUSH_LOSS,-100.0
Emiliano Grillo,Christiaan Bezuidenhout,Max Greyserman,Emiliano Grillo,280.0,,True,SLIGHT: A favored,4.951961143419403,2WAY_PUSH_LOSS,-100.0
Ricky Castillo,Ryan Gerard,Patrick Cantlay,Ricky Castillo,220.0,Ricky Castillo,False,SLIGHT: A favored,4.951961143419403,WIN,220.00000000000003
Ricky Castillo,Ryan Gerard,Patrick Cantlay,Ricky Castillo,220.0,Ricky Castillo,False,SLIGHT: A favored,4.951961143419403,WIN,220.00000000000003
Brice Garnett,Dylan Wu,Max Meissner,Dylan Wu,210.0,Dylan Wu,False,SLIGHT: B favored,4.878296857601944,WIN,210.0
Sepp Straka,Harry Hall,Patrick Cantlay,Harry Hall,220.0,,True,SLIGHT: B favored,4.870959067150574,2WAY_PUSH_WIN,110.00000000000001
Patrick Cantlay,Sepp Straka,Harry Hall,Harry Hall,240.0,,True,SLIGHT: C favored,4.870959067150574,2WAY_PUSH_WIN,120.0
Ben Griffin,Keegan Bradley,Sam Burns,Sam Burns,160.0,Sam Burns,False,SLIGHT: C favored,4.870959067150574,WIN,160.0
Ben Griffin,Sam Burns,Keegan Bradley,Sam Burns,170.0,Sam Burns,False,SLIGHT: B favored,4.870959067150574,WIN,170.0
Francesco Laporta,Joe Dean,Marcus Kinhult,Joe Dean,210.0,Francesco Laporta,False,SLIGHT: B favored,4.849148682168941,LOSS,-100.0
Viktor Hovland,Russell Henley,Robert MacIntyre,Robert MacIntyre,200.0,Russell Henley,False,SLIGHT: C favored,4.838124440726401,LOSS,-100.0
Viktor Hovland,Russell Henley,Robert MacIntyre,Robert MacIntyre,210.0,Russell Henley,False,SLIGHT: C favored,4.838124440726401,LOSS,-100.0
Erik van Rooyen,Keith Mitchell,Michael Kim,Keith Mitchell,115.0,Keith Mitchell,False,SLIGHT: B favored,4.838124440726401,WIN,114.99999999999999
Viktor Hovland,Russell Henley,Robert MacIntyre,Robert MacIntyre,200.0,Russell Henley,False,SLIGHT: C favored,4.838124440726401,LOSS,-100.0
Viktor Hovland,Russell Henley,Robert MacIntyre,Robert MacIntyre,210.0,Russell Henley,False,SLIGHT: C favored,4.838124440726401,LOSS,-100.0
Ockie Strydom,Justin Harding,Johannes Veerman,Johannes Veerman,-105.0,Johannes Veerman,False,SLIGHT: C favored,4.771438736246076,WIN,95.23809523809523
Taylor Moore,Harry Higgs,Hank Lebioda,Hank Lebioda,187.0,Taylor Moore,False,SLIGHT: C favored,4.766211352594019,LOSS,-100.0
Jason Day,Alex Noren,Ryo Hisatsune,Jason Day,150.0,Ryo Hisatsune,False,SLIGHT: A favored,4.719977828508734,LOSS,-100.0
Jason Day,Alex Noren,Ryo Hisatsune,Jason Day,145.0,Ryo Hisatsune,False,SLIGHT: A favored,4.719977828508734,LOSS,-100.0
Jason Day,Alex Noren,Ryo Hisatsune,Jason Day,150.0,Ryo Hisatsune,False,SLIGHT: A favored,4.719977828508734,LOSS,-100.0
Jason Day,Alex Noren,Ryo Hisatsune,Jason Day,145.0,Ryo Hisatsune,False,SLIGHT: A favored,4.719977828508734,LOSS,-100.0
