ev_bucket,total_matchups,p_a_win,p_tie,p_a_loss,fair_decimal,fair_american
-26.75,2,0.0,0.0,1.0,inf,
-26.25,4,0.3333333333333333,0.25,0.6666666666666666,3.0,200.0
-25.75,4,0.5,0.0,0.5,2.0,100.0
-25.25,8,0.5714285714285714,0.125,0.4285714285714285,1.75,-133.0
-25.0,7,0.7142857142857143,0.0,0.2857142857142857,1.4,-250.0
-24.75,10,0.75,0.2,0.25,1.333,-300.0
-24.5,10,0.5714285714285714,0.3,0.4285714285714285,1.75,-133.0
-24.25,27,0.75,0.1111111111111111,0.25,1.333,-300.0
-24.0,29,0.6538461538461539,0.1034482758620689,0.3461538461538461,1.529,-189.0
-23.75,6,0.4,0.1666666666666666,0.6,2.5,150.0
-23.5,33,0.6,0.0909090909090909,0.4,1.667,-150.0
-23.25,89,0.7926829268292683,0.0786516853932584,0.2073170731707317,1.262,-382.0
-23.0,60,0.8620689655172413,0.0333333333333333,0.1379310344827586,1.16,-625.0
-22.75,90,0.7764705882352941,0.0555555555555555,0.2235294117647059,1.288,-347.0
-22.5,93,0.7126436781609196,0.064516129032258,0.2873563218390804,1.403,-248.0
-22.25,71,0.7205882352941176,0.0422535211267605,0.2794117647058823,1.388,-258.0
-22.0,57,0.5849056603773585,0.0701754385964912,0.4150943396226415,1.71,-141.0
-21.75,44,0.6666666666666666,0.0454545454545454,0.3333333333333333,1.5,-200.0
-21.5,100,0.7032967032967034,0.09,0.2967032967032967,1.422,-237.0
-21.25,132,0.6403508771929824,0.1363636363636363,0.3596491228070175,1.562,-178.0
-21.0,140,0.6153846153846154,0.0714285714285714,0.3846153846153846,1.625,-160.0
-20.75,179,0.6211180124223602,0.1005586592178771,0.3788819875776397,1.61,-164.0
-20.5,182,0.5088757396449705,0.0714285714285714,0.4911242603550296,1.965,-104.0
-20.25,149,0.5298507462686567,0.1006711409395973,0.4701492537313433,1.887,-113.0
-20.0,123,0.5504587155963303,0.1138211382113821,0.4495412844036697,1.817,-122.0
-19.75,163,0.5202702702702703,0.0920245398773006,0.4797297297297297,1.922,-108.0
-19.5,221,0.5472636815920398,0.090497737556561,0.4527363184079602,1.827,-121.0
-19.25,226,0.55,0.1150442477876106,0.45,1.818,-122.0
-19.0,278,0.5923076923076923,0.0647482014388489,0.4076923076923077,1.688,-145.0
-18.75,304,0.610909090909091,0.0953947368421052,0.3890909090909091,1.637,-157.0
-18.5,230,0.5933014354066986,0.0913043478260869,0.4066985645933014,1.685,-146.0
-18.25,231,0.7169811320754716,0.0822510822510822,0.2830188679245283,1.395,-253.0
-18.0,278,0.6392156862745098,0.0827338129496402,0.3607843137254902,1.564,-177.0
-17.75,280,0.5843137254901961,0.0892857142857142,0.4156862745098039,1.711,-141.0
-17.5,321,0.593103448275862,0.0965732087227414,0.4068965517241379,1.686,-146.0
-17.25,289,0.6121673003802282,0.0899653979238754,0.3878326996197718,1.634,-158.0
-17.0,283,0.609375,0.0954063604240282,0.390625,1.641,-156.0
-16.75,291,0.6007604562737643,0.0962199312714776,0.3992395437262357,1.665,-150.0
-16.5,266,0.6065573770491803,0.0827067669172932,0.3934426229508196,1.649,-154.0
-16.25,269,0.6285714285714286,0.0892193308550185,0.3714285714285714,1.591,-169.0
-16.0,250,0.508695652173913,0.08,0.4913043478260869,1.966,-104.0
-15.75,273,0.4921259842519685,0.0695970695970696,0.5078740157480315,2.032,103.0
-15.5,267,0.5481171548117155,0.1048689138576779,0.4518828451882845,1.824,-121.0
-15.25,288,0.4674329501915709,0.09375,0.5325670498084292,2.139,114.0
-15.0,333,0.535483870967742,0.069069069069069,0.4645161290322581,1.867,-115.0
-14.75,306,0.5421245421245421,0.1078431372549019,0.4578754578754578,1.845,-118.0
-14.5,264,0.5311203319502075,0.0871212121212121,0.4688796680497925,1.883,-113.0
-14.25,360,0.4693251533742331,0.0944444444444444,0.5306748466257669,2.131,113.0
-14.0,493,0.5185185185185185,0.0689655172413793,0.4814814814814814,1.929,-108.0
-13.75,391,0.527536231884058,0.1176470588235294,0.472463768115942,1.896,-112.0
-13.5,432,0.4987277353689567,0.0902777777777777,0.5012722646310432,2.005,101.0
-13.25,490,0.5704545454545454,0.1020408163265306,0.4295454545454545,1.753,-133.0
-13.0,512,0.5849889624724062,0.115234375,0.4150110375275938,1.709,-141.0
-12.75,511,0.6025369978858351,0.0743639921722113,0.3974630021141649,1.66,-152.0
-12.5,407,0.5763157894736842,0.0663390663390663,0.4236842105263158,1.735,-136.0
-12.25,490,0.6,0.1020408163265306,0.4,1.667,-150.0
-12.0,424,0.5437665782493368,0.1108490566037735,0.4562334217506631,1.839,-119.0
-11.75,407,0.518918918918919,0.0909090909090909,0.4810810810810811,1.927,-108.0
-11.5,525,0.5553235908141962,0.0876190476190476,0.4446764091858037,1.801,-125.0
-11.25,564,0.5320388349514563,0.0868794326241134,0.4679611650485437,1.88,-114.0
-11.0,434,0.4761904761904761,0.0806451612903225,0.5238095238095238,2.1,110.0
-10.75,476,0.4814814814814814,0.0924369747899159,0.5185185185185185,2.077,108.0
-10.5,573,0.4717348927875243,0.1047120418848167,0.5282651072124757,2.12,112.0
-10.25,640,0.5138888888888888,0.1,0.4861111111111111,1.946,-106.0
-10.0,715,0.5500770416024653,0.0923076923076923,0.4499229583975346,1.818,-122.0
-9.75,702,0.5461658841940532,0.0897435897435897,0.4538341158059468,1.831,-120.0
-9.5,499,0.5372807017543859,0.0861723446893787,0.462719298245614,1.861,-116.0
-9.25,492,0.5229357798165137,0.1138211382113821,0.4770642201834862,1.912,-110.0
-9.0,525,0.5260960334029228,0.0876190476190476,0.4739039665970772,1.901,-111.0
-8.75,620,0.5044563279857398,0.0951612903225806,0.4955436720142602,1.982,-102.0
-8.5,615,0.4693140794223827,0.0991869918699187,0.5306859205776173,2.131,113.0
-8.25,873,0.4824120603015075,0.0882016036655212,0.5175879396984925,2.073,107.0
-8.0,907,0.4548780487804878,0.0959206174200661,0.5451219512195122,2.198,120.0
-7.75,981,0.4482758620689655,0.0835881753312946,0.5517241379310345,2.231,123.0
-7.5,1265,0.5093333333333333,0.1106719367588932,0.4906666666666666,1.963,-104.0
-7.25,1394,0.5003940110323088,0.0896700143472023,0.4996059889676911,1.998,-100.0
-7.0,1503,0.4839181286549707,0.0898203592814371,0.5160818713450293,2.066,107.0
-6.75,2149,0.5030643513789581,0.0888785481619357,0.4969356486210419,1.988,-101.0
-6.5,2979,0.5066273932253313,0.0882846592816381,0.4933726067746686,1.974,-103.0
-6.25,3029,0.4908424908424908,0.0987124463519313,0.5091575091575091,2.037,104.0
-6.0,3083,0.4577762139338494,0.0781706130392474,0.5422237860661506,2.184,118.0
-5.75,4501,0.4903540903540903,0.0902021772939346,0.5096459096459096,2.039,104.0
-5.5,5618,0.4552559593591246,0.0889996440014239,0.5447440406408753,2.197,120.0
-5.25,7277,0.4830611010284331,0.0913838120104438,0.5169388989715669,2.07,107.0
-5.0,8992,0.4710268948655257,0.0903024911032028,0.5289731051344744,2.123,112.0
-4.75,11196,0.4777898158179848,0.0931582708110039,0.5222101841820151,2.093,109.0
-4.5,13750,0.4792498004788507,0.0887272727272727,0.5207501995211492,2.087,109.0
-4.25,15465,0.473409950745949,0.0941480763013255,0.526590049254051,2.112,111.0
-4.0,19703,0.4738492552357486,0.093640562350911,0.5261507447642513,2.11,111.0
-3.75,24347,0.4784541413408328,0.0945085636834106,0.5215458586591672,2.09,109.0
-3.5,30077,0.4789440834159415,0.0944243109352661,0.5210559165840585,2.088,109.0
-3.25,35788,0.4946003651329022,0.0969878171454118,0.5053996348670978,2.022,102.0
-3.0,40802,0.4893755420641804,0.0957306014411058,0.5106244579358196,2.043,104.0
-2.75,44118,0.4778141639377046,0.0932725871526361,0.5221858360622953,2.093,109.0
-2.5,54077,0.4707502703585056,0.093718216617046,0.5292497296414944,2.124,112.0
-2.25,66303,0.466340228506712,0.094430116284331,0.533659771493288,2.144,114.0
-2.0,83106,0.4649247486085466,0.0941568599138449,0.5350752513914534,2.151,115.0
-1.75,90768,0.4496328856527086,0.0951987484576062,0.5503671143472914,2.224,122.0
-1.5,101737,0.4292092942604473,0.0930339994299025,0.5707907057395526,2.33,133.0
-1.25,124019,0.4230121608980355,0.0949370660947113,0.5769878391019645,2.364,136.0
-1.0,160555,0.4209321092817779,0.0969885708947089,0.5790678907182222,2.376,138.0
-0.75,211230,0.4247268153350279,0.0966955451403683,0.5752731846649721,2.354,135.0
-0.5,270805,0.4441170193554742,0.100267720315356,0.5558829806445258,2.252,125.0
-0.25,335744,0.4666277666529632,0.1016131338162409,0.5333722333470368,2.143,114.0
0.0,349084,0.493885251501154,0.1026257290508874,0.506114748498846,2.025,102.0
0.25,321493,0.5230826830477392,0.1027394064567502,0.4769173169522607,1.912,-110.0
0.5,263911,0.549283852247411,0.1002610728616844,0.4507161477525889,1.821,-122.0
0.75,199753,0.5682867348469277,0.0988220452258539,0.4317132651530723,1.76,-132.0
1.0,147214,0.5646231940648184,0.09538494980097,0.4353768059351816,1.771,-130.0
1.25,116830,0.5614036749384353,0.0962937601643413,0.4385963250615647,1.781,-128.0
1.5,98364,0.5456097588372066,0.0949229392867309,0.4543902411627933,1.833,-120.0
1.75,87581,0.5263164540977396,0.0958084516048001,0.4736835459022603,1.9,-111.0
2.0,69399,0.5196605465073617,0.0966872721508955,0.4803394534926382,1.924,-108.0
2.25,60638,0.5054218846982366,0.0966390712094726,0.4945781153017635,1.979,-102.0
2.5,52916,0.5080973774945147,0.0956421498223599,0.4919026225054853,1.968,-103.0
2.75,44170,0.508812720318008,0.0944306090106407,0.491187279681992,1.965,-104.0
3.0,37960,0.4932142544435688,0.0973919915700737,0.5067857455564312,2.028,103.0
3.25,32549,0.4992348240095222,0.0965928292727887,0.5007651759904778,2.003,100.0
3.5,28264,0.4996476943552806,0.096164732521936,0.5003523056447193,2.001,100.0
3.75,24326,0.4934012924365158,0.0966866726958809,0.5065987075634841,2.027,103.0
4.0,17150,0.5152391975308642,0.0931778425655976,0.4847608024691358,1.941,-106.0
4.25,15516,0.5154799858306766,0.0902938901778808,0.4845200141693234,1.94,-106.0
4.5,11644,0.521210407239819,0.0889728615596015,0.478789592760181,1.919,-109.0
4.75,9503,0.5239090064995358,0.0933389455961275,0.4760909935004642,1.909,-110.0
5.0,7569,0.5246708146433222,0.0869335447218919,0.4753291853566778,1.906,-110.0
5.25,6334,0.5093782563390066,0.0909377960214714,0.4906217436609934,1.963,-104.0
5.5,5690,0.490104772991851,0.0942003514938488,0.509895227008149,2.04,104.0
5.75,4062,0.4979746151768836,0.0883801083210241,0.5020253848231164,2.008,101.0
6.0,3299,0.4680067001675042,0.0951803576841467,0.5319932998324958,2.137,114.0
6.25,2916,0.4782772950510011,0.0922496570644718,0.5217227049489989,2.091,109.0
6.5,2130,0.4643962848297213,0.0901408450704225,0.5356037151702786,2.153,115.0
6.75,2225,0.475074775672981,0.0984269662921348,0.5249252243270189,2.105,110.0
7.0,2095,0.4582010582010582,0.0978520286396181,0.5417989417989418,2.182,118.0
7.25,1683,0.440499671268902,0.0962566844919786,0.559500328731098,2.27,127.0
7.5,1504,0.4289876183539694,0.0871010638297872,0.5710123816460306,2.331,133.0
7.75,1350,0.475020475020475,0.0955555555555555,0.5249795249795249,2.105,111.0
8.0,1276,0.4443485763589301,0.091692789968652,0.5556514236410699,2.25,125.0
8.25,1069,0.4537987679671458,0.088868101028999,0.5462012320328542,2.204,120.0
8.5,932,0.4744351961950059,0.0976394849785407,0.525564803804994,2.108,111.0
8.75,1027,0.4413938753959873,0.0778967867575462,0.5586061246040127,2.266,127.0
9.0,987,0.4534501642935378,0.0749746707193515,0.5465498357064622,2.205,121.0
9.25,862,0.4546632124352331,0.1044083526682134,0.5453367875647669,2.199,120.0
9.5,878,0.4556650246305418,0.0751708428246013,0.5443349753694581,2.195,119.0
9.75,761,0.4891146589259796,0.0946123521681997,0.5108853410740203,2.045,104.0
10.0,836,0.4471968709256845,0.0825358851674641,0.5528031290743155,2.236,124.0
10.25,806,0.4931318681318681,0.0967741935483871,0.5068681318681318,2.028,103.0
10.5,771,0.4401709401709401,0.0894941634241245,0.5598290598290598,2.272,127.0
10.75,746,0.4645441389290883,0.0737265415549597,0.5354558610709117,2.153,115.0
11.0,770,0.4639769452449567,0.0987012987012987,0.5360230547550432,2.155,116.0
11.25,708,0.4347826086956521,0.0903954802259887,0.5652173913043478,2.3,130.0
11.5,645,0.4514480408858603,0.089922480620155,0.5485519591141397,2.215,122.0
11.75,666,0.4750830564784053,0.0960960960960961,0.5249169435215947,2.105,110.0
12.0,663,0.4486754966887417,0.0889894419306184,0.5513245033112583,2.229,123.0
12.25,647,0.4502529510961214,0.0834621329211746,0.5497470489038786,2.221,122.0
12.5,679,0.4311774461028192,0.1119293078055964,0.5688225538971807,2.319,132.0
12.75,743,0.4321533923303834,0.0874831763122476,0.5678466076696165,2.314,131.0
13.0,701,0.419047619047619,0.101283880171184,0.580952380952381,2.386,139.0
13.25,656,0.4249146757679181,0.1067073170731707,0.5750853242320819,2.353,135.0
13.5,614,0.4550359712230216,0.0944625407166123,0.5449640287769785,2.198,120.0
13.75,588,0.440453686200378,0.1003401360544217,0.5595463137996219,2.27,127.0
14.0,451,0.4658536585365854,0.0909090909090909,0.5341463414634147,2.147,115.0
14.25,456,0.4571428571428571,0.0789473684210526,0.5428571428571428,2.188,119.0
14.5,424,0.4379746835443038,0.0683962264150943,0.5620253164556962,2.283,128.0
14.75,415,0.4804177545691906,0.0771084337349397,0.5195822454308094,2.082,108.0
15.0,379,0.5100864553314121,0.0844327176781002,0.4899135446685879,1.96,-104.0
15.25,379,0.4364161849710982,0.0870712401055409,0.5635838150289018,2.291,129.0
15.5,315,0.4843205574912892,0.0888888888888888,0.5156794425087108,2.065,106.0
15.75,308,0.5017667844522968,0.0811688311688311,0.4982332155477031,1.993,-101.0
16.0,258,0.3526970954356846,0.065891472868217,0.6473029045643154,2.835,184.0
16.25,251,0.4151785714285714,0.1075697211155378,0.5848214285714286,2.409,141.0
16.5,367,0.4464831804281345,0.108991825613079,0.5535168195718655,2.24,124.0
16.75,355,0.4130434782608695,0.0929577464788732,0.5869565217391305,2.421,142.0
17.0,368,0.4084084084084084,0.0951086956521739,0.5915915915915916,2.449,145.0
17.25,322,0.3873239436619718,0.1180124223602484,0.6126760563380281,2.582,158.0
17.5,239,0.4401913875598086,0.1255230125523012,0.5598086124401914,2.272,127.0
17.75,267,0.326271186440678,0.1161048689138576,0.673728813559322,3.065,206.0
18.0,254,0.445414847161572,0.0984251968503937,0.5545851528384279,2.245,125.0
18.25,163,0.4966442953020134,0.0858895705521472,0.5033557046979866,2.014,101.0
18.5,192,0.3390804597701149,0.09375,0.6609195402298851,2.949,195.0
18.75,166,0.3741496598639456,0.1144578313253012,0.6258503401360545,2.673,167.0
19.0,190,0.4573170731707317,0.1368421052631579,0.5426829268292683,2.187,119.0
19.25,139,0.3888888888888889,0.0935251798561151,0.6111111111111112,2.571,157.0
19.5,208,0.3770491803278688,0.1201923076923077,0.6229508196721312,2.652,165.0
19.75,173,0.4487179487179487,0.0982658959537572,0.5512820512820513,2.229,123.0
20.0,113,0.3883495145631068,0.0884955752212389,0.6116504854368932,2.575,158.0
20.25,134,0.4214876033057851,0.0970149253731343,0.5785123966942148,2.373,137.0
20.5,144,0.3181818181818182,0.0833333333333333,0.6818181818181818,3.143,214.0
20.75,124,0.3539823008849557,0.0887096774193548,0.6460176991150443,2.825,183.0
21.0,109,0.3592233009708738,0.055045871559633,0.6407766990291263,2.784,178.0
21.25,99,0.3516483516483517,0.0808080808080808,0.6483516483516484,2.844,184.0
21.5,46,0.4634146341463415,0.108695652173913,0.5365853658536586,2.158,116.0
21.75,48,0.3043478260869565,0.0416666666666666,0.6956521739130435,3.286,229.0
22.0,59,0.320754716981132,0.1016949152542373,0.6792452830188679,3.118,212.0
22.25,41,0.2,0.024390243902439,0.8,5.0,400.0
22.5,47,0.1590909090909091,0.0638297872340425,0.8409090909090909,6.286,529.0
22.75,34,0.1515151515151515,0.0294117647058823,0.8484848484848485,6.6,560.0
23.0,39,0.2285714285714285,0.1025641025641025,0.7714285714285715,4.375,338.0
23.25,28,0.2142857142857142,0.0,0.7857142857142857,4.667,367.0
23.5,17,0.1333333333333333,0.1176470588235294,0.8666666666666667,7.5,650.0
23.75,13,0.3333333333333333,0.0769230769230769,0.6666666666666666,3.0,200.0
24.0,16,0.25,0.0,0.75,4.0,300.0
24.25,14,0.0769230769230769,0.0714285714285714,0.9230769230769232,13.0,1200.0
24.5,18,0.2941176470588235,0.0555555555555555,0.7058823529411765,3.4,240.0
24.75,10,0.4,0.0,0.6,2.5,150.0
25.0,8,0.375,0.0,0.625,2.667,167.0
25.25,6,0.5,0.0,0.5,2.0,100.0
25.5,4,0.5,0.0,0.5,2.0,100.0
25.75,6,0.8333333333333334,0.0,0.1666666666666666,1.2,-500.0
26.0,4,0.5,0.0,0.5,2.0,100.0
26.25,2,1.0,0.5,0.0,1.0,
26.5,6,1.0,0.0,0.0,1.0,
27.0,2,0.5,0.0,0.5,2.0,100.0
