tournament,wood_count,non_wood_count,wood_avg_off_par,non_wood_avg_off_par,off_par_diff,wood_avg_vs_avg,non_wood_avg_vs_avg,vs_avg_diff,wood_win_rate_%,non_wood_win_rate_%,win_rate_diff_%
Hero World Challenge,48,460,-0.688,-2.152,1.465,1.347,-0.118,1.465,25.0,15.9,9.1
Cadence Bank Houston Open,108,606,-0.093,-1.158,1.066,0.822,0.12,0.701,40.7,32.0,8.7
ONEflight Myrtle Beach Classic,116,600,-0.034,-1.007,0.972,0.683,-0.276,0.959,44.8,28.0,16.8
TOUR Championship,60,708,-0.933,-1.895,0.962,0.789,-0.173,0.962,30.0,17.9,12.1
BMW Championship,188,1218,-0.191,-0.773,0.582,0.569,0.108,0.46,37.8,33.7,4.1
U.S. Open,370,2066,3.105,2.552,0.553,0.238,-0.273,0.511,79.2,73.6,5.6
Corales Puntacana Championship,315,1420,-0.851,-1.34,0.489,0.109,-0.382,0.491,29.8,25.4,4.4
PGA Championship,372,2010,0.973,0.487,0.487,-0.048,-0.493,0.445,55.6,49.1,6.6
Wells Fargo Championship,176,1030,0.716,0.281,0.435,0.311,-0.146,0.457,48.3,46.2,2.1
THE PLAYERS Championship,415,2251,0.4,0.079,0.321,0.394,0.008,0.386,48.0,43.5,4.4
The Genesis Invitational,310,1644,0.139,-0.159,0.298,0.449,0.189,0.26,43.9,38.9,4.9
Masters Tournament,212,1279,1.425,1.13,0.295,0.086,-0.206,0.292,63.7,57.5,6.1
Procore Championship,192,1084,-0.474,-0.764,0.29,0.13,-0.138,0.267,37.0,30.0,7.0
Travelers Championship,324,1860,-1.154,-1.444,0.29,0.318,0.153,0.165,29.6,28.2,1.4
Myrtle Beach Classic,52,360,-1.096,-1.383,0.287,0.055,-0.216,0.271,30.8,24.2,6.6
THE CJ CUP in South Carolina,120,424,-0.617,-0.892,0.275,-0.081,-0.356,0.275,33.3,28.8,4.6
Arnold Palmer Invitational pres. by Mastercard,338,1627,1.192,0.923,0.269,0.463,0.193,0.271,59.2,53.3,5.9
Valspar Championship,400,2134,0.182,-0.041,0.223,0.007,-0.154,0.16,44.8,40.6,4.2
Truist Championship,80,488,-1.875,-2.094,0.219,0.183,-0.069,0.252,22.5,18.9,3.6
the Memorial Tournament pres. by Workday,192,1402,1.427,1.217,0.21,0.101,-0.116,0.217,57.3,58.5,-1.2
RBC Canadian Open,384,2003,-1.076,-1.283,0.207,-0.356,-0.534,0.179,27.9,27.7,0.2
PGA TOUR Q-School presented by Korn Ferry,204,870,-2.176,-2.38,0.204,-0.228,-0.365,0.137,23.0,19.4,3.6
Texas Children's Houston Open,190,1182,-1.537,-1.724,0.187,-0.051,-0.175,0.125,23.7,19.5,4.2
Black Desert Championship,68,379,-2.309,-2.488,0.179,-0.043,-0.046,0.002,14.7,16.1,-1.4
AT&T Pebble Beach Pro-Am,396,1856,-1.442,-1.619,0.177,0.172,0.0,0.172,25.5,23.1,2.4
FedEx St. Jude Championship,340,1640,-0.921,-1.052,0.132,0.192,0.141,0.051,26.5,28.8,-2.4
Cognizant Classic in The Palm Beaches,140,676,-0.657,-0.787,0.13,-0.522,-0.668,0.146,27.1,27.8,-0.7
Rocket Mortgage Classic,327,1405,0.199,0.112,0.087,-0.007,-0.061,0.055,41.3,44.6,-3.3
The Open Championship,198,1058,0.788,0.705,0.083,-0.341,-0.4,0.06,51.5,51.1,0.4
Butterfield Bermuda Championship,324,1702,-1.29,-1.372,0.082,-0.105,-0.075,-0.029,27.5,27.0,0.4
RBC Heritage,271,1494,-1.181,-1.256,0.076,-0.158,-0.162,0.004,24.7,24.8,-0.0
AT&T Byron Nelson,136,660,-2.125,-2.18,0.055,-0.148,-0.204,0.057,16.9,17.7,-0.8
Sony Open in Hawaii,442,2036,-1.593,-1.638,0.045,-0.307,-0.363,0.056,19.7,19.7,-0.1
Sentry Tournament of Champions,48,240,-4.667,-4.683,0.017,0.116,0.1,0.017,4.2,3.3,0.8
Bank of Utah Championship,102,616,-1.431,-1.416,-0.016,-0.122,-0.057,-0.066,27.5,26.6,0.8
The American Express,480,2590,-2.633,-2.595,-0.039,0.045,0.122,-0.076,16.7,15.6,1.0
Cognizant Classic,86,444,-0.012,0.036,-0.048,-0.085,-0.05,-0.035,37.2,43.0,-5.8
Wyndham Championship,430,2204,-1.093,-1.033,-0.06,-0.066,-0.083,0.017,29.3,28.6,0.7
Charles Schwab Challenge,494,1883,0.443,0.537,-0.094,-0.182,-0.025,-0.157,48.4,50.4,-2.0
Valero Texas Open,339,1771,0.059,0.154,-0.095,-0.112,0.017,-0.129,44.5,43.6,1.0
THE CJ CUP Byron Nelson,225,1142,-2.44,-2.331,-0.109,-0.167,0.089,-0.256,10.7,16.1,-5.4
3M Open,437,2039,-1.373,-1.214,-0.159,-0.443,-0.289,-0.154,24.9,27.9,-3.0
The RSM Classic,426,2133,-3.469,-3.294,-0.176,-0.341,-0.138,-0.204,10.8,9.3,1.5
WM Phoenix Open,390,2065,-1.038,-0.839,-0.2,-0.173,-0.092,-0.082,30.5,29.6,0.9
Genesis Scottish Open,530,2209,-1.974,-1.759,-0.214,0.153,0.172,-0.02,20.6,22.1,-1.6
The Honda Classic,178,917,0.713,0.938,-0.224,-0.122,0.093,-0.215,54.5,52.2,2.3
The Sentry,144,846,-4.674,-4.444,-0.229,-0.21,0.084,-0.293,4.9,5.4,-0.6
Puerto Rico Open,260,1568,-2.285,-2.034,-0.25,-0.838,-0.547,-0.291,13.5,17.0,-3.5
ISCO Championship,212,1033,-1.915,-1.618,-0.297,0.248,0.363,-0.115,26.4,26.3,0.1
World Wide Technology Championship,234,1234,-2.184,-1.882,-0.302,-0.391,-0.121,-0.27,15.0,20.3,-5.4
John Deere Classic,403,1966,-2.134,-1.827,-0.307,-0.469,-0.102,-0.367,16.4,20.6,-4.2
Fortinet Championship,209,968,-1.014,-0.683,-0.332,-0.354,-0.017,-0.337,29.2,31.7,-2.5
Farmers Insurance Open,418,2220,-0.34,0.004,-0.343,-0.261,0.232,-0.494,40.9,43.9,-3.0
The Open,217,1146,0.756,1.101,-0.345,-0.692,-0.54,-0.152,56.2,56.0,0.2
Mexico Open at Vidanta,296,1581,-1.693,-1.319,-0.374,-0.553,-0.253,-0.3,24.0,24.3,-0.3
Barbasol Championship,136,783,-2.897,-2.511,-0.386,-0.24,-0.278,0.039,18.4,15.7,2.7
The Memorial Tournament pres. by Workday,60,302,1.1,1.493,-0.393,0.008,0.209,-0.201,58.3,56.6,1.7
Shriners Children's Open,318,1292,-2.409,-2.004,-0.405,-0.216,-0.114,-0.102,16.0,20.3,-4.2
ZOZO CHAMPIONSHIP,201,1009,-1.179,-0.737,-0.442,-0.619,-0.179,-0.44,24.4,31.4,-7.0
Sanderson Farms Championship,378,1996,-2.217,-1.775,-0.442,-0.307,0.011,-0.318,14.6,19.7,-5.1
Rocket Classic,172,740,-0.872,-0.4,-0.472,-0.472,0.01,-0.482,30.2,36.2,-6.0
Baycurrent Classic,104,496,-1.481,-0.94,-0.541,-0.526,0.016,-0.541,23.1,37.9,-14.8
World Wide Technology Championship at Mayakoba,124,578,-2.694,-2.087,-0.607,-0.097,-0.135,0.038,17.7,17.6,0.1
Barracuda Championship,343,1776,,,,0.458,0.337,0.121,0.0,0.0,0.0
