condition,round_type,color,moon_2bucket,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Calm,Closing,Blue,Krishna,162,25.3,27.2,25.2,22.8,0.1,4.4,0.84,0.2
Calm,Closing,Blue,Shukla,274,23.0,26.6,25.2,22.8,-2.2,3.8,0.78,0.1
Calm,Closing,Green,Krishna,107,19.6,25.2,25.2,22.8,-5.6,2.4,0.7,0.06
Calm,Closing,Green,Shukla,144,25.7,17.4,25.2,22.8,0.5,-5.4,1.34,-0.3
Calm,Closing,Orange,Krishna,104,19.2,25.0,25.2,22.8,-6.0,2.2,0.7,-0.0
Calm,Closing,Orange,Shukla,178,27.0,24.2,25.2,22.8,1.7,1.4,1.01,-0.08
Calm,Closing,Purple,Krishna,121,24.8,21.5,25.2,22.8,-0.4,-1.3,1.04,-0.21
Calm,Closing,Purple,Shukla,175,28.0,17.1,25.2,22.8,2.8,-5.7,1.48,-0.48
Calm,Closing,Yellow,Krishna,410,20.5,25.6,25.2,22.8,-4.7,2.8,0.72,0.22
Calm,Closing,Yellow,Shukla,455,31.2,19.6,25.2,22.8,6.0,-3.2,1.44,-0.39
Calm,Elimination,Blue,Krishna,30,26.7,30.0,28.2,24.8,-1.5,5.2,0.78,0.48
Calm,Elimination,Yellow,Krishna,37,24.3,18.9,28.2,24.8,-3.9,-5.9,1.13,-0.04
Calm,Mixed,Blue,Krishna,46,15.2,43.5,30.0,29.5,-14.8,14.0,0.34,1.65
Calm,Mixed,Blue,Shukla,59,44.1,18.6,30.0,29.5,14.1,-10.8,2.32,-0.82
Calm,Mixed,Green,Krishna,39,12.8,48.7,30.0,29.5,-17.2,19.2,0.26,1.77
Calm,Mixed,Green,Shukla,54,44.4,11.1,30.0,29.5,14.4,-18.4,3.93,-0.97
Calm,Mixed,Orange,Krishna,30,3.3,76.7,30.0,29.5,-26.7,47.2,0.04,3.96
Calm,Mixed,Purple,Krishna,47,19.1,38.3,30.0,29.5,-10.9,8.8,0.49,1.48
Calm,Mixed,Purple,Shukla,59,44.1,15.3,30.0,29.5,14.1,-14.2,2.84,-0.67
Calm,Mixed,Yellow,Krishna,119,21.8,36.1,30.0,29.5,-8.2,6.7,0.59,1.26
Calm,Mixed,Yellow,Shukla,79,43.0,17.7,30.0,29.5,13.0,-11.8,2.39,-1.02
Calm,Open,Blue,Krishna,238,33.2,19.3,28.7,22.6,4.5,-3.3,1.35,-0.41
Calm,Open,Blue,Shukla,552,27.5,22.1,28.7,22.6,-1.2,-0.5,0.98,-0.21
Calm,Open,Green,Krishna,226,30.5,21.7,28.7,22.6,1.8,-0.9,1.11,-0.13
Calm,Open,Green,Shukla,349,29.5,24.1,28.7,22.6,0.8,1.5,0.96,-0.26
Calm,Open,Orange,Krishna,160,33.1,16.9,28.7,22.6,4.4,-5.7,1.54,-0.44
Calm,Open,Orange,Shukla,223,29.6,21.1,28.7,22.6,0.9,-1.5,1.1,-0.36
Calm,Open,Purple,Krishna,214,33.2,19.2,28.7,22.6,4.4,-3.4,1.36,-0.4
Calm,Open,Purple,Shukla,441,27.4,23.6,28.7,22.6,-1.3,1.0,0.91,-0.06
Calm,Open,Red,Shukla,73,20.5,31.5,28.7,22.6,-8.2,8.9,0.51,0.62
Calm,Open,Yellow,Krishna,547,31.6,21.6,28.7,22.6,2.9,-1.0,1.15,-0.33
Calm,Open,Yellow,Shukla,1024,25.3,24.9,28.7,22.6,-3.4,2.3,0.8,0.06
Calm,Positioning,Blue,Krishna,205,20.0,21.5,23.1,22.9,-3.1,-1.4,0.92,0.13
Calm,Positioning,Blue,Shukla,247,27.5,18.6,23.1,22.9,4.4,-4.3,1.46,-0.31
Calm,Positioning,Green,Krishna,149,24.2,22.1,23.1,22.9,1.0,-0.8,1.08,0.0
Calm,Positioning,Green,Shukla,125,28.0,24.0,23.1,22.9,4.9,1.1,1.16,0.07
Calm,Positioning,Orange,Krishna,103,14.6,24.3,23.1,22.9,-8.6,1.4,0.59,0.19
Calm,Positioning,Orange,Shukla,136,21.3,24.3,23.1,22.9,-1.8,1.4,0.87,0.12
Calm,Positioning,Purple,Krishna,174,18.4,27.0,23.1,22.9,-4.7,4.1,0.67,0.26
Calm,Positioning,Purple,Shukla,171,29.2,22.2,23.1,22.9,6.1,-0.7,1.3,-0.07
Calm,Positioning,Red,Krishna,47,19.1,31.9,23.1,22.9,-4.0,9.0,0.59,0.36
Calm,Positioning,Red,Shukla,32,21.9,25.0,23.1,22.9,-1.3,2.1,0.87,0.25
Calm,Positioning,Yellow,Krishna,404,17.6,25.0,23.1,22.9,-5.6,2.1,0.7,0.32
Calm,Positioning,Yellow,Shukla,407,28.5,20.4,23.1,22.9,5.4,-2.5,1.38,-0.32
Calm,REMOVE,Blue,Krishna,173,26.0,35.8,26.6,29.1,-0.6,6.8,0.79,0.81
Calm,REMOVE,Blue,Shukla,73,16.4,30.1,26.6,29.1,-10.1,1.1,0.6,0.4
Calm,REMOVE,Green,Krishna,117,27.4,23.9,26.6,29.1,0.8,-5.1,1.25,0.07
Calm,REMOVE,Orange,Krishna,98,25.5,33.7,26.6,29.1,-1.1,4.6,0.83,0.45
Calm,REMOVE,Orange,Shukla,49,22.4,24.5,26.6,29.1,-4.1,-4.6,1.0,-0.02
Calm,REMOVE,Purple,Krishna,130,26.2,29.2,26.6,29.1,-0.4,0.2,0.98,-0.05
Calm,REMOVE,Yellow,Krishna,341,32.8,28.7,26.6,29.1,6.3,-0.3,1.25,-0.47
Calm,REMOVE,Yellow,Shukla,98,16.3,24.5,26.6,29.1,-10.2,-4.6,0.73,0.38
Calm,Survival,Blue,Krishna,181,23.2,24.9,26.2,21.8,-3.0,3.1,0.77,0.25
Calm,Survival,Blue,Shukla,426,23.2,18.8,26.2,21.8,-3.0,-3.0,1.03,-0.04
Calm,Survival,Green,Krishna,257,22.6,27.6,26.2,21.8,-3.7,5.8,0.68,0.43
Calm,Survival,Green,Shukla,252,24.6,16.7,26.2,21.8,-1.6,-5.1,1.23,-0.21
Calm,Survival,Orange,Krishna,34,17.6,26.5,26.2,21.8,-8.6,4.7,0.55,0.32
Calm,Survival,Orange,Shukla,260,30.8,16.9,26.2,21.8,4.5,-4.9,1.51,-0.49
Calm,Survival,Purple,Krishna,266,27.4,24.8,26.2,21.8,1.2,3.0,0.92,0.06
Calm,Survival,Purple,Shukla,263,30.0,23.2,26.2,21.8,3.8,1.4,1.07,-0.11
Calm,Survival,Red,Krishna,47,34.0,21.3,26.2,21.8,7.8,-0.5,1.33,-0.32
Calm,Survival,Red,Shukla,61,39.3,23.0,26.2,21.8,13.1,1.2,1.42,-0.45
Calm,Survival,Yellow,Krishna,514,24.1,24.7,26.2,21.8,-2.1,2.9,0.81,0.2
Calm,Survival,Yellow,Shukla,730,27.4,20.3,26.2,21.8,1.2,-1.5,1.12,-0.17
Moderate,Closing,Blue,Krishna,143,23.8,30.8,21.9,23.6,1.8,7.1,0.83,0.53
Moderate,Closing,Blue,Shukla,116,26.7,17.2,21.9,23.6,4.8,-6.4,1.67,-0.21
Moderate,Closing,Green,Krishna,95,20.0,26.3,21.9,23.6,-1.9,2.7,0.82,0.44
Moderate,Closing,Green,Shukla,62,27.4,16.1,21.9,23.6,5.5,-7.5,1.83,-0.39
Moderate,Closing,Orange,Krishna,61,18.0,16.4,21.9,23.6,-3.9,-7.2,1.18,-0.34
Moderate,Closing,Orange,Shukla,50,28.0,16.0,21.9,23.6,6.1,-7.6,1.89,-0.61
Moderate,Closing,Purple,Krishna,85,20.0,25.9,21.9,23.6,-1.9,2.3,0.83,0.24
Moderate,Closing,Purple,Shukla,87,24.1,23.0,21.9,23.6,2.2,-0.6,1.13,0.11
Moderate,Closing,Red,Krishna,31,32.3,25.8,21.9,23.6,10.3,2.2,1.35,0.12
Moderate,Closing,Yellow,Krishna,285,20.4,23.5,21.9,23.6,-1.6,-0.1,0.93,0.33
Moderate,Closing,Yellow,Shukla,151,15.9,26.5,21.9,23.6,-6.0,2.9,0.65,0.48
Moderate,Open,Blue,Krishna,307,22.1,25.7,29.0,21.0,-6.9,4.7,0.62,0.34
Moderate,Open,Blue,Shukla,120,27.5,16.7,29.0,21.0,-1.5,-4.4,1.2,-0.55
Moderate,Open,Green,Krishna,192,36.5,22.4,29.0,21.0,7.5,1.4,1.18,-0.34
Moderate,Open,Green,Shukla,78,28.2,26.9,29.0,21.0,-0.8,5.9,0.76,-0.26
Moderate,Open,Orange,Krishna,198,33.3,17.7,29.0,21.0,4.3,-3.4,1.37,-0.47
Moderate,Open,Orange,Shukla,60,28.3,13.3,29.0,21.0,-0.7,-7.7,1.54,-0.68
Moderate,Open,Purple,Krishna,236,31.4,18.6,29.0,21.0,2.4,-2.4,1.22,-0.11
Moderate,Open,Purple,Shukla,86,25.6,24.4,29.0,21.0,-3.4,3.4,0.76,-0.4
Moderate,Open,Red,Krishna,34,41.2,23.5,29.0,21.0,12.2,2.5,1.27,-0.54
Moderate,Open,Yellow,Krishna,599,27.9,20.7,29.0,21.0,-1.1,-0.3,0.98,-0.08
Moderate,Open,Yellow,Shukla,238,29.8,20.2,29.0,21.0,0.8,-0.9,1.07,-0.4
Moderate,Positioning,Blue,Krishna,95,25.3,22.1,22.8,22.3,2.5,-0.2,1.12,0.03
Moderate,Positioning,Blue,Shukla,109,22.0,28.4,22.8,22.3,-0.8,6.1,0.76,0.02
Moderate,Positioning,Green,Krishna,66,28.8,15.2,22.8,22.3,6.0,-7.2,1.86,-0.34
Moderate,Positioning,Green,Shukla,85,20.0,15.3,22.8,22.3,-2.8,-7.1,1.28,-0.23
Moderate,Positioning,Orange,Krishna,70,35.7,17.1,22.8,22.3,12.9,-5.2,2.04,-1.01
Moderate,Positioning,Orange,Shukla,47,10.6,19.1,22.8,22.3,-12.2,-3.2,0.54,0.44
Moderate,Positioning,Purple,Krishna,95,22.1,29.5,22.8,22.3,-0.7,7.1,0.73,0.37
Moderate,Positioning,Purple,Shukla,108,19.4,22.2,22.8,22.3,-3.4,-0.1,0.86,-0.04
Moderate,Positioning,Yellow,Krishna,219,22.4,26.9,22.8,22.3,-0.4,4.6,0.81,0.36
Moderate,Positioning,Yellow,Shukla,165,21.2,18.8,22.8,22.3,-1.6,-3.6,1.11,-0.04
Moderate,REMOVE,Blue,Krishna,48,33.3,35.4,28.3,22.5,5.0,13.0,0.75,0.22
Moderate,REMOVE,Blue,Shukla,44,25.0,13.6,28.3,22.5,-3.3,-8.8,1.45,-0.05
Moderate,REMOVE,Green,Krishna,30,30.0,33.3,28.3,22.5,1.7,10.9,0.71,-0.09
Moderate,REMOVE,Yellow,Krishna,52,32.7,15.4,28.3,22.5,4.4,-7.1,1.68,-0.79
Moderate,REMOVE,Yellow,Shukla,63,27.0,25.4,28.3,22.5,-1.4,2.9,0.84,0.17
Moderate,Survival,Blue,Krishna,228,34.6,18.0,28.6,20.7,6.1,-2.7,1.39,-0.69
Moderate,Survival,Blue,Shukla,84,26.2,25.0,28.6,20.7,-2.4,4.3,0.76,-0.15
Moderate,Survival,Green,Krishna,62,29.0,17.7,28.6,20.7,0.4,-2.9,1.18,-0.41
Moderate,Survival,Green,Shukla,68,20.6,26.5,28.6,20.7,-8.0,5.8,0.56,0.2
Moderate,Survival,Orange,Krishna,167,30.5,21.0,28.6,20.7,1.9,0.3,1.05,-0.3
Moderate,Survival,Purple,Krishna,53,47.2,7.5,28.6,20.7,18.6,-13.1,4.52,-1.89
Moderate,Survival,Purple,Shukla,70,28.6,20.0,28.6,20.7,-0.0,-0.7,1.03,-0.16
Moderate,Survival,Red,Krishna,41,29.3,19.5,28.6,20.7,0.7,-1.2,1.08,-0.26
Moderate,Survival,Yellow,Krishna,341,31.1,15.8,28.6,20.7,2.5,-4.8,1.42,-0.56
Moderate,Survival,Yellow,Shukla,279,17.6,29.4,28.6,20.7,-11.0,8.7,0.43,0.32
Tough,Closing,Blue,Krishna,32,18.8,37.5,20.7,25.9,-2.0,11.6,0.63,0.82
Tough,Closing,Yellow,Krishna,46,21.7,21.7,20.7,25.9,1.0,-4.2,1.25,0.08
Tough,Positioning,Yellow,Krishna,69,13.0,15.9,15.9,21.7,-2.8,-5.8,1.12,0.13
Tough,Survival,Green,Krishna,60,21.7,15.0,17.3,25.1,4.4,-10.1,2.09,-0.42
Tough,Survival,Purple,Krishna,77,15.6,29.9,17.3,25.1,-1.7,4.8,0.76,0.01
Tough,Survival,Yellow,Krishna,106,19.8,23.6,17.3,25.1,2.5,-1.5,1.22,-0.38
